Compound,Date,Favorite Count,Retweet Count,Text
0.851,Tue Dec 12 12:39:42 +0000 2017,949,949,A very happy #Hanukkah to everyone celebrating! !חנוכה שמח
0.6124,Sun Dec 10 18:54:47 +0000 2017,1677,1677,"Beyond the urgent, never-ending work of protecting the rights we enjoy, each generation — including ours — has a re… https://t.co/FoCt9cbgcP"
0.6808,Sat Dec 09 20:37:07 +0000 2017,574,574,"Thanks to the Apple team for our biggest @ToysForTots_USA collection yet, and to @USMC for making the holiday seaso… https://t.co/GQ3YStgTyZ"
0.9217,Sat Dec 09 02:05:05 +0000 2017,743,743,A huge thanks @gwenstefani for celebrating the holidays with us and performing from your new holiday album. It was… https://t.co/UKTxwwNEwW
0.8126,Fri Dec 08 02:53:03 +0000 2017,977,977,Imagination and creativity drives us at Apple. Thank you to the talented artists and creatives who kept us inspired… https://t.co/Pl1pcKzyW9
0.6369,Wed Dec 06 23:23:30 +0000 2017,962,962,Thank you @JustinTrudeau on behalf of our Canadian employees and everyone at Apple. We appreciate your deep commitm… https://t.co/zftSrLP7Wi
-0.3612,Wed Dec 06 21:33:10 +0000 2017,983,983,"Our thoughts are with our fellow Californians affected by the devastating wildfires, and the brave firefighters wor… https://t.co/5y1Md5dPd5"
0.6705,Mon Dec 04 12:42:34 +0000 2017,1617,1617,"Coding is the language of the future, giving people of all ages and backgrounds the chance to create something new.… https://t.co/N7tMj4iF8q"
0.6908,Thu Nov 30 23:10:27 +0000 2017,553,553,"This #WorldAIDSDay we celebrate saving lives, through 144 million days’ worth of medication to prevent the transmis… https://t.co/U6CQsey1GG"
0.8689,Wed Nov 29 03:22:52 +0000 2017,3655,3655,Everyone should have the opportunity to learn to code. We’re celebrating #HourofCode with free workshops next week… https://t.co/iDL6Neohrs
0.5697,Sun Nov 26 01:04:56 +0000 2017,1767,1767,So proud of @AuburnFootball @CoachGusMalzahn This is our time!
0.0,Fri Nov 24 20:40:48 +0000 2017,5835,5835,نعبِّر عن أسفنا الشديد تجاه الهجوم المروع على مسجد الروضة في مصر ونعزي جميع أهلها.  🇪🇬
0.9285,Thu Nov 23 16:47:53 +0000 2017,1463,1463,"Happy #Thanksgiving! Grateful this year for family and friends, the incredibly talented team at Apple and our customers all over the world."
0.7177,Wed Nov 15 00:32:15 +0000 2017,3137,3137,Congratulations Australia! Another important step toward equality for all. 🇦🇺 #MarriageEquality
0.9097,Sun Nov 12 00:15:07 +0000 2017,1581,1581,Congratulations @AuburnFootball @CoachGusMalzahn on an EPIC win! Couldn’t be prouder.  See you in 2 weeks. WDE! #Auburn
0.7964,Sat Nov 11 18:54:05 +0000 2017,953,953,"Happy #VeteransDay to the brave men and women who have served in our armed forces, and all those who have supported… https://t.co/1PSVe7XlR8"
0.9271,Sat Nov 11 00:50:40 +0000 2017,420,420,"Honored to welcome Gen. Lori Robinson to campus today, and proud to work alongside so many courageous veterans here… https://t.co/yXG0mjJu9y"
0.906,Thu Nov 09 23:49:35 +0000 2017,801,801,Love the amazing photos we’re seeing from iPhone X users! Check out this stunning work by @Austinmann #ShotoniPhone… https://t.co/lKLVHjz71r
-0.9231,Sun Nov 05 21:15:24 +0000 2017,1766,1766,"Shocked and sorrowed by the heartbreaking news from Texas. Prayers for all those touched by violence today: victims, survivors, worshippers."
0.899,Sat Nov 04 01:36:07 +0000 2017,1169,1169,"To all my incredibly talented coworkers, congratulations on the launch of iPhone X! Thanks @WALKTHEMOONband for cel… https://t.co/HAATe3QfSz"
0.0,Thu Nov 02 23:51:34 +0000 2017,2957,2957,"iPhone X is here! A big thank-you to all our customers in Sydney, and everyone turning out around the world Friday!… https://t.co/CeWBakmWDg"
0.0,Wed Nov 01 19:23:20 +0000 2017,2117,2117,Gotta wait til Friday! Meet me at the Apple Store at 8 a.m. — we’ll let you open the doors! #iPhone https://t.co/r9hFywLn3z
0.5994,Tue Oct 31 23:29:51 +0000 2017,1604,1604,"Tonight our hearts are with the victims, their families and all the people of New York. Stay safe and stay strong."
0.8979,Thu Oct 26 01:09:51 +0000 2017,1437,1437,"""If you love the life you live, live it every day.” Fats Domino inspired generations. His music &amp; legacy will live on forever. Rest in peace"
0.8834,Sat Oct 21 21:28:47 +0000 2017,299,299,"Thanks @ChicagosMayor for a great conversation about education, diversity and Apple’s strong ties with Chicago. https://t.co/nqjiCf6edh"
0.69,Sat Oct 21 00:15:06 +0000 2017,758,758,"My kind of town, Chicago is 🎶 My kind of people, too. Thank you, Chicago, for welcoming us to the Riverwalk! https://t.co/6WhORpMdR5"
0.9449,Thu Oct 19 02:34:07 +0000 2017,2153,2153,"Happy #Diwali! May the festival of lights spread love, peace &amp; prosperity to all!  #ShotoniPhone by @prashvish https://t.co/Ax8NLXPzzM"
0.8074,Mon Oct 16 15:30:00 +0000 2017,722,722,"To our friends, coworkers and all those in the path of #Ophelia - please stay safe. 🇮🇪 🇬🇧"
0.8834,Fri Oct 13 17:48:55 +0000 2017,432,432,Enjoyed talking with the bright students from the Osservatorio program in Firenze today. Great questions- Grazie e… https://t.co/l9b5HJUOMw
0.8834,Fri Oct 13 06:42:20 +0000 2017,528,528,Thanks to the many talented iOS app developers who previewed AR features for me this week. Hearing great ideas acro… https://t.co/RC88Hdjpf7
0.6808,Thu Oct 12 14:02:22 +0000 2017,1018,1018,"A visit to the breathtaking forests of northern Sweden with @IggesundAB, our partners in innovation and sustainable… https://t.co/eH4LgH6XCt"
0.923,Wed Oct 11 13:36:57 +0000 2017,589,589,Robot dance party! 🤖 Thanks to these talented young coders from @HT_Primary. Great to meet you today at Apple Regen… https://t.co/hjzmqt4mON
0.8777,Tue Oct 10 15:45:58 +0000 2017,1127,1127,Our thoughts are with our Bay Area friends &amp; neighbors affected by wildfires. Please stay safe! Apple is donating to aid relief efforts.
0.636,Mon Oct 09 13:58:56 +0000 2017,282,282,Très impressionné par l’expérience @CoachGuitar. Congratulations on 6M downloads! We can’t wait to see what you do… https://t.co/cXSAHhoOBZ
0.9042,Mon Oct 09 13:38:01 +0000 2017,360,360,"Thrilled to meet this team of entrepreneurs @my_little_paris, whose success is born from creativity and passion. https://t.co/kQ18e3Zghe"
